"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2 aanvullingen"
"06/20/2019 15:15:56:389 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"87","16","50","512","0.8","18","true","community","1","33","0","true","5000","14","0","186","312","","4608","0.03579049127394609","490662945","38223","5000"
"92","16","50","512","1","4","true","community","1","36","0","true","5000","264","2","242","4","","1024","0.011593332882395379","2273716430","483972","5000"
"88","16","50","512","1","18","true","community","1","33","0","true","4832","72","440","0","0","no trust","4608","0.03424848261931124","586360572","939","4832"
"95","16","50","512","0.8","8","true","community","1","36","0","true","2251","254","0","258","0","only trust","2048","0.016003228988637982","922710172","525687","2251"
"97","16","50","512","0.8","10","true","community","1","36","0","true","1913","255","0","257","0","only trust","2560","0.01982121404634345","858563158","525033","1913"
"96","16","50","512","1","8","true","community","1","36","0","true","5000","219","0","244","49","","2048","0.016834777189211923","2021792190","415944","5000"
"98","16","50","512","1","10","true","community","1","36","0","true","5000","196","0","240","76","","2560","0.018339564377078874","2094278974","394931","5000"
"100","16","50","512","1","12","true","community","1","36","0","true","5000","181","0","244","87","","3072","0.02133817230013171","1879906398","387426","5000"
"99","16","50","512","0.8","12","true","community","1","36","0","true","5000","210","0","233","69","","3072","0.021849834972320296","1798771808","403700","5000"
"101","16","50","512","0.8","14","true","community","1","36","0","true","5000","155","0","227","130","","3584","0.027759795602239238","1792697928","302015","5000"
"102","16","50","512","1","14","true","community","1","36","0","true","5000","181","0","245","86","","3584","0.027446389224055037","1700903040","362332","5000"
"103","16","50","512","0.8","16","true","community","1","36","0","true","5000","155","0","239","118","","4096","0.029837781078492123","1537036754","307170","5000"
"111","16","50","512","0.8","6","true","community","1","39","0","true","430","253","0","259","0","only trust","1536","0.009272693452380949","179958756","558559","430"
"112","16","50","512","1","6","true","community","1","39","0","true","447","277","0","235","0","only trust","1536","0.010817958083583077","199445905","561339","447"
"104","16","50","512","1","16","true","community","1","36","0","true","5000","116","0","221","175","","4096","0.03280101949517276","1551150364","209502","5000"
"113","16","50","512","0.8","8","true","community","1","39","0","true","451","247","0","265","0","only trust","2048","0.014903430195401206","209209295","569228","451"
"114","16","50","512","1","8","true","community","1","39","0","true","495","258","0","254","0","only trust","2048","0.015584918429496821","234866691","562366","495"
"115","16","50","512","0.8","10","true","community","1","39","0","true","385","254","0","258","0","only trust","2560","0.020482060093007275","167626276","571257","385"
"117","16","50","512","0.8","12","true","community","1","39","0","true","461","256","0","256","0","only trust","3072","0.02415560239133819","221231519","560804","461"
"116","16","50","512","1","10","true","community","1","39","0","true","492","262","0","250","0","only trust","2560","0.01791811735803004","236667107","566690","492"
"119","16","50","512","0.8","14","true","community","1","39","0","true","306","259","0","253","0","only trust","3584","0.025290936059611312","124983376","545947","306"
"118","16","50","512","1","12","true","community","1","39","0","true","565","248","0","264","0","only trust","3072","0.021315513337106833","250463663","564408","565"
"120","16","50","512","1","14","true","community","1","39","0","true","385","260","0","252","0","only trust","3584","0.02958740820621837","158355493","559055","385"
"121","16","50","512","0.8","16","true","community","1","39","0","true","552","257","0","255","0","only trust","4096","0.02906985739020585","241890279","557621","552"
"105","16","50","512","0.8","18","true","community","1","36","0","true","5000","106","0","221","185","","4608","0.0355948927303841","1463090870","178908","5000"
"122","16","50","512","1","16","true","community","1","39","0","true","510","252","0","260","0","only trust","4096","0.029477673162702018","233914421","559614","510"
"125","16","50","512","0.8","20","true","community","1","39","0","true","436","254","0","258","0","only trust","5120","0.041390878662423004","195599316","551862","436"
"123","16","50","512","0.8","18","true","community","1","39","0","true","583","252","0","260","0","only trust","4608","0.03364466612902636","253868177","556469","583"
"109","16","50","512","0.8","4","true","community","1","39","0","true","5000","266","4","240","2","","1024","0.006124441964285715","2596123484","535894","5000"
"124","16","50","512","1","18","true","community","1","39","0","true","671","259","0","253","0","only trust","4608","0.03445655439265047","296421963","552095","671"
"129","16","50","512","0.8","6","true","community","1","21","0","true","109","35","477","0","0","no trust","1536","0.008815766481782103","1592831","901","109"
"110","16","50","512","1","4","true","community","1","39","0","true","5000","250","1","260","1","","1024","0.007790798611111111","2583453341","527634","5000"
"130","16","50","512","1","6","true","community","1","21","0","true","210","47","465","0","0","no trust","1536","0.01395589003010877","2091296","278","210"
"126","16","50","512","1","20","true","community","1","39","0","true","438","259","0","253","0","only trust","5120","0.0405782823857752","173270696","546512","438"
