"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2"
"06/12/2019 12:56:48:685 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"143","16","50","512","0.04","20","true","community","1","30","0","true","399","259","0","253","0","only trust","5120","0.5132190096871675","55160150","404109","399"
"103","16","50","512","0.02","20","true","community","1","36","0","true","5000","177","0","215","120","","5120","0.583083748658507","1832012152","343635","5000"
"144","16","50","512","0.04","20","true","community","1","30","0","true","708","249","0","263","0","only trust","5120","0.5040215443223558","45206530","394613","708"
"146","16","50","512","0.04","20","true","community","1","33","0","true","395","45","467","0","0","no trust","5120","0.5092949482550643","5777839","196","395"
"148","16","50","512","0.04","20","true","community","1","33","0","true","333","252","0","260","0","only trust","5120","0.5068829158586196","54810952","451309","333"
"152","16","50","512","0.04","20","true","community","1","33","0","true","491","252","0","260","0","only trust","5120","0.5131453165049804","57745012","450667","491"
"151","16","50","512","0.04","20","true","community","1","33","0","true","647","255","0","257","0","only trust","5120","0.518029709387126","59143744","450344","647"
"155","16","50","512","0.04","20","true","community","1","36","0","true","307","258","0","254","0","only trust","5120","0.49698065852087864","40130054","469690","307"
"104","16","50","512","0.02","20","true","community","1","36","0","true","5000","226","0","252","34","","5120","0.5720967869277269","2105875554","444168","5000"
"145","16","50","512","0.04","20","true","community","1","33","0","true","5000","77","0","197","238","","5120","0.4998976050951631","1300933015","136283","5000"
"147","16","50","512","0.04","20","true","community","1","33","0","true","5000","44","0","169","299","","5120","0.5030237871299682","732854257","85234","5000"
"149","16","50","512","0.04","20","true","community","1","33","0","true","5000","45","0","178","289","","5120","0.49928917682573404","800601174","84803","5000"
"150","16","50","512","0.04","20","true","community","1","33","0","true","5000","108","0","202","202","","5120","0.5051566926633387","1652495155","200348","5000"
"153","16","50","512","0.04","20","true","community","1","36","0","true","5000","132","0","204","176","","5120","0.5057338423252379","1494515358","256913","5000"
"154","16","50","512","0.04","20","true","community","1","36","0","true","5000","123","0","218","171","","5120","0.5019086763106366","1209873680","234423","5000"
"161","16","50","512","0.04","20","true","community","1","39","0","true","807","258","0","254","0","only trust","5120","0.51108573822252","364033522","540603","807"
"156","16","50","512","0.04","20","true","community","1","36","0","true","5000","224","0","247","41","","5120","0.503683259348652","2031094458","437602","5000"
"162","16","50","512","0.04","20","true","community","1","39","0","true","1035","259","0","253","0","only trust","5120","0.4992940889231733","453016346","538428","1035"
"164","16","50","512","0.04","20","true","community","1","39","0","true","544","256","0","256","0","only trust","5120","0.5068243617225895","244899836","537829","544"
"163","16","50","512","0.04","20","true","community","1","39","0","true","696","253","0","259","0","only trust","5120","0.5169588494679181","322622627","540936","696"
"157","16","50","512","0.04","20","true","community","1","36","0","true","5000","253","0","250","9","","5120","0.4997812454417352","1788944276","487024","5000"
"169","16","50","512","0.05","20","true","community","1","21","0","true","80","14","496","0","2","no trust","5120","0.46629366871160144","1283396","1986","80"
"165","16","50","512","0.04","20","true","community","1","39","0","true","630","257","0","255","0","only trust","5120","0.49901601930629413","281007376","542732","630"
"170","16","50","512","0.05","20","true","community","1","21","0","true","94","21","491","0","0","no trust","5120","0.4826168409004742","1131840","520","94"
"172","16","50","512","0.05","20","true","community","1","21","0","true","83","17","495","0","0","no trust","5120","0.47641378633097897","1221757","1124","83"
"173","16","50","512","0.05","20","true","community","1","21","0","true","73","14","498","0","0","no trust","5120","0.4884264250838425","1117188","1562","73"
"166","16","50","512","0.04","20","true","community","1","39","0","true","749","247","0","265","0","only trust","5120","0.512919104927252","342660731","539703","749"
"174","16","50","512","0.05","20","true","community","1","21","0","true","81","19","493","0","0","no trust","5120","0.4757364939204379","1249151","1196","81"
"167","16","50","512","0.04","20","true","community","1","39","0","true","638","249","0","263","0","only trust","5120","0.5174448055638293","287786818","543669","638"
"177","16","50","512","0.05","20","true","community","1","24","0","true","103","20","492","0","0","no trust","5120","0.4648795327757549","1845364","1139","103"
"171","16","50","512","0.05","20","true","community","1","21","0","true","472","255","0","257","0","only trust","5120","0.4776555079669391","42238970","285819","472"
"176","16","50","512","0.05","20","true","community","1","21","0","true","198","30","482","0","0","no trust","5120","0.48303112258989445","1187953","375","198"
"179","16","50","512","0.05","20","true","community","1","24","0","true","96","12","500","0","0","no trust","5120","0.4678627797614159","1457990","1114","96"
"180","16","50","512","0.05","20","true","community","1","24","0","true","97","25","487","0","0","no trust","5120","0.48034775389744944","1765688","1321","97"
"168","16","50","512","0.04","20","true","community","1","39","0","true","827","254","0","258","0","only trust","5120","0.5063334513095729","378156511","540893","827"
"178","16","50","512","0.05","20","true","community","1","24","0","true","178","29","483","0","0","no trust","5120","0.4791850590759127","2204994","381","178"
"181","16","50","512","0.05","20","true","community","1","24","0","true","84","21","490","0","1","no trust","5120","0.4778301029115599","1834866","2162","84"
"182","16","50","512","0.05","20","true","community","1","24","0","true","87","21","491","0","0","no trust","5120","0.4679105529505952","1451752","1134","87"
"183","16","50","512","0.05","20","true","community","1","24","0","true","70","16","495","0","1","no trust","5120","0.4782197672695445","1513784","3074","70"
"184","16","50","512","0.05","20","true","community","1","24","0","true","113","20","492","0","0","no trust","5120","0.47941250003078734","1621854","506","113"
"185","16","50","512","0.05","20","true","community","1","27","0","true","109","28","484","0","0","no trust","5120","0.48001137311631314","1719566","625","109"
"187","16","50","512","0.05","20","true","community","1","27","0","true","120","22","490","0","0","no trust","5120","0.47232293296853944","3129790","849","120"
"186","16","50","512","0.05","20","true","community","1","27","0","true","149","20","492","0","0","no trust","5120","0.4703395428936033","2650265","928","149"
"188","16","50","512","0.05","20","true","community","1","27","0","true","95","26","486","0","0","no trust","5120","0.4778401258721321","2506745","2083","95"
"189","16","50","512","0.05","20","true","community","1","27","0","true","108","27","485","0","0","no trust","5120","0.4631970913607217","3414736","2418","108"
